id,project,branch,change_id,subject,status,created,updated,submitted,insertions,deletions,total_comment_count,number,current_revision,topic,discussion_messages_count,reviewers_count,revisions_count,files_count,owner_account_id,owner_name,owner_username,commit_message
openstack%2Ftacker~master~I7dd19a0c1ce948474bb3069073b3608ce265beb4,openstack/tacker,master,I7dd19a0c1ce948474bb3069073b3608ce265beb4,Implement multisite VIM feature,MERGED,2016-02-26 03:52:33.000000000,2016-03-29 00:57:34.000000000,2016-03-29 00:57:34.000000000,1598,266,121,285096,0fdd5a471759491d5114cc77125fd5aea4159a62,bp/multi-site-vim,76,9,15,40,13485,Sripriya Seetharam,Sripriya,"Implement multisite VIM feature

Added support for multisite OpenStack VIM feature through a new
'nfvo' extension. This also enables remote VNF life cycle manage-
ment through the VIM Id parameter.

Implements: blueprint multi-site-vim
Depends-On: I3c08945f24343288c2c5614ab4b472d68a1e1d47

Change-Id: I7dd19a0c1ce948474bb3069073b3608ce265beb4
"
openstack%2Fcinder~master~I07df721e5505abe17e45427c05b985b7e923a010,openstack/cinder,master,I07df721e5505abe17e45427c05b985b7e923a010,Block subtractive operations in DB migrations,MERGED,2015-11-23 15:33:06.000000000,2016-03-29 00:49:27.000000000,2016-03-11 17:28:03.000000000,60,0,1,248768,0d4bd0dc79d54b3c739c09668335a23ca498a1ba,bp/online-schema-upgrades,151,53,5,1,11600,Michał Dulko,dulek,"Block subtractive operations in DB migrations

To achieve rolling upgrades we need to make non-backward-compatible DB schema
migrations in a very specific manner that spans through 3 releases. In
particular we need to be very careful when dropping or altering columns
and tables.

This commit adds a test that blocks all the ALTER and DROP operations
from DB migrations. It allows to specify exceptions from this rule for two
purposes:
* Some DROP/ALTER migrations aren't subtractive (e.g. dropping a
  constraint).
* When following the process we've designed for non-backward-compatible
  migrations, we should be able to drop first unused columns or tables
  in O release.

The test is based on similar one implemented in Nova.

Implements: bp online-schema-upgrades

Change-Id: I07df721e5505abe17e45427c05b985b7e923a010
"
openstack%2Fha-guide~master~I18a78c9aaf4fb62ca11bbddc6ee6db9c2a4fccee,openstack/ha-guide,master,I18a78c9aaf4fb62ca11bbddc6ee6db9c2a4fccee,Add comment to other-requirements.txt,MERGED,2016-03-28 17:14:40.000000000,2016-03-29 00:40:08.000000000,2016-03-29 00:40:08.000000000,3,0,0,298337,3df351c0a34bfca28dae5028a8b37f049089a371,comment,6,2,1,1,6547,Andreas Jaeger,jaegerandi,"Add comment to other-requirements.txt

Change-Id: I18a78c9aaf4fb62ca11bbddc6ee6db9c2a4fccee
"
openstack%2Freleases~master~I0349ef15452081bd7236d1b6f8b51c82ebbc9c5f,openstack/releases,master,I0349ef15452081bd7236d1b6f8b51c82ebbc9c5f,python-magnumclient 2.0.0 - mitaka,ABANDONED,2016-03-28 16:58:31.000000000,2016-03-29 00:37:29.000000000,,12,0,0,298327,82389b562cfa61120ad28813d9dab5ff8628d3bb,298327,8,2,3,1,668,Adrian Otto,aotto,"python-magnumclient 2.0.0 - mitaka

Change-Id: I0349ef15452081bd7236d1b6f8b51c82ebbc9c5f
"
openstack%2Fneutron~master~Iceee46f63669b28e3a34d207216d864f1bfa5cf8,openstack/neutron,master,Iceee46f63669b28e3a34d207216d864f1bfa5cf8,firewall: don't warn about a driver that does not accept bridge,MERGED,2016-03-24 15:20:11.000000000,2016-03-29 00:37:19.000000000,2016-03-25 22:54:00.000000000,1,6,1,297210,193aa35325b897b960de88b510181b377e4c345c,bug/1561243,36,16,3,1,9656,Ihar Hrachyshka,ihrachys,"firewall: don't warn about a driver that does not accept bridge

Drivers that do not need the bridge parameter are safe to ignore it.
Actually, the base abstract interface for those drivers does not allow
to pass the new parameter.

Ideally, the base class __init__ signature would change to accept the
argument, but we can't do it without breaking API.

So instead, just handle both types of drivers - those that accept the
additional argument, and those that don't. And don't assume the latter
are somehow wrong.

Change-Id: Iceee46f63669b28e3a34d207216d864f1bfa5cf8
Closes-Bug: #1561243
"
openstack%2Fneutron~master~I2c4f78fce591486ded63252af13fc0c60d02a3e8,openstack/neutron,master,I2c4f78fce591486ded63252af13fc0c60d02a3e8,Make network segment table available for standalone plugin,MERGED,2015-11-06 08:37:21.000000000,2016-03-29 00:31:11.000000000,2016-03-25 20:09:46.000000000,212,110,107,242393,c8fca1c96f8013af15f659550ec03307bd018df9,routed-networks,351,42,22,6,2874,yong sheng gong,gongysh,"Make network segment table available for standalone plugin

Some standalone plugins, such as networking-ovn, are expecting
to store provider network information in neutron database, but
we have no table, like other extensions do, for provider
network extension defined.

This patch moves NetworkSegment table out of the ML2 code tree.
The API methods to operate segments are also moved, but stub
methods are still kept in the ml2 db API.

Co-Author: Miguel Lavalle <malavall@us.ibm.com>
Change-Id: I2c4f78fce591486ded63252af13fc0c60d02a3e8
Partially-Implements: blueprint routed-networks
"
openstack%2Fopenstack-manuals~master~I4c30c41b166e374e0919d75d69598c7ccf896007,openstack/openstack-manuals,master,I4c30c41b166e374e0919d75d69598c7ccf896007,[www-fr] Add link to French mitaka install guide as draft,MERGED,2016-03-26 04:42:17.000000000,2016-03-29 00:27:02.000000000,2016-03-29 00:27:02.000000000,6,3,0,297915,144710b11f10dd533fd68df4bbd727f8a52c22b5,www-fr,7,3,1,1,10497,KATO Tomoyuki,to222,"[www-fr] Add link to French mitaka install guide as draft

Change-Id: I4c30c41b166e374e0919d75d69598c7ccf896007
"
openstack%2Freleases~master~If6d5cddef6681fbab51ea3c001f8dc263aec2b14,openstack/releases,master,If6d5cddef6681fbab51ea3c001f8dc263aec2b14,magnum 2.0.0 - mitaka,MERGED,2016-03-28 16:55:48.000000000,2016-03-28 23:59:45.000000000,2016-03-28 23:59:44.000000000,4,0,0,298324,fde98d1fb3b9b8b7f03c228a2efc94910953c456,298324,9,3,2,1,668,Adrian Otto,aotto,"magnum 2.0.0 - mitaka

Change-Id: If6d5cddef6681fbab51ea3c001f8dc263aec2b14
"
openstack%2Fsecurity-doc~master~Id66f1a150cde886c33ae977efcb2c4337f160d0c,openstack/security-doc,master,Id66f1a150cde886c33ae977efcb2c4337f160d0c,Install only required packages,MERGED,2016-03-28 14:13:42.000000000,2016-03-28 23:45:18.000000000,2016-03-28 23:45:17.000000000,13,0,0,298249,054e2cc57d5cedd200f9028aeb253452cfce7243,bindep,16,5,4,1,6547,Andreas Jaeger,jaegerandi,"Install only required packages

Add other-requirements.txt to install
only required packages that we need for testing and not extra packages
that are installed by default.

This change is self-testing.

Change-Id: Id66f1a150cde886c33ae977efcb2c4337f160d0c
"
openstack%2Fsearchlight~stable%2Fmitaka~I5591d5208f75015f93b8431e73d2d7c7f5f2e167,openstack/searchlight,stable/mitaka,I5591d5208f75015f93b8431e73d2d7c7f5f2e167,Zero Downtime Re-indexing Error Handling.,MERGED,2016-03-28 23:29:18.000000000,2016-03-28 23:43:44.000000000,2016-03-28 23:43:44.000000000,131,59,0,298466,531447d28045e0da15a85bf942ee03d7707b3679,bp/zero-downtime-reindexing,7,2,1,3,10063,Steve McLellan,sjmc7,"Zero Downtime Re-indexing Error Handling.

See spec:
http://specs.openstack.org/openstack/searchlight-specs/specs/mitaka/zero-downtime-reindexing.html

The Zero Downtime code is deficient in the error handling department.
One cleanup method too few. If we get any unrecoverable exceptions
while creating/preparing the indexes or aliases, we cannot continue.
In this case we need to roll back and undo any changes we made.

Change-Id: I5591d5208f75015f93b8431e73d2d7c7f5f2e167
Closes-Bug: #1557003
(cherry picked from commit bc9eeaa9bac867eb28c07077fe7ee4cc4af9db5f)
"
openstack%2Fneutron~master~I7bc449aa079d84869b2a707b36bbbfb22d540cc5,openstack/neutron,master,I7bc449aa079d84869b2a707b36bbbfb22d540cc5,make/update_subnetpool_dict call _dict_extend,MERGED,2016-02-22 03:14:30.000000000,2016-03-28 23:35:06.000000000,2016-03-02 16:59:57.000000000,6,2,0,282941,c40012ffaec9a0711285cc6896c35893b2a9f6a3,bug/1548161,58,16,3,2,15309,zhaobo,ZhaoBo,"make/update_subnetpool_dict call _dict_extend

Now the extension fields were not being added to the response for
subnetpool, and when update subnetpool, the response of updated was not
contain any extensions which based on 'standard_attr'.

This patch add 'call _extend_dict' functions to make subnetpool support
for extending dict.

Change-Id: I7bc449aa079d84869b2a707b36bbbfb22d540cc5
Closes-Bug: #1548161
"
openstack%2Fironic-webclient~master~Icaf13be7adc90890b52d193e007185693cad3e15,openstack/ironic-webclient,master,Icaf13be7adc90890b52d193e007185693cad3e15,Updated application dependencies,MERGED,2016-03-17 11:26:20.000000000,2016-03-28 23:31:47.000000000,2016-03-28 23:31:47.000000000,6,6,0,293963,1f25ebc89a4fc522653d74908601acad88320190,ux,17,3,4,1,9717,Michael Krotscheck,krotscheck,"Updated application dependencies

This patch updates various library dependencies for
the ironic webclient.

Change-Id: Icaf13be7adc90890b52d193e007185693cad3e15
"
openstack%2Fmagnum~master~I83120436a520261d7e19a0c7790e96ffb276d87d,openstack/magnum,master,I83120436a520261d7e19a0c7790e96ffb276d87d,Cleanup duplicated auth_url in k8scluster/master template,MERGED,2016-03-28 03:35:17.000000000,2016-03-28 23:29:32.000000000,2016-03-28 23:29:31.000000000,1,6,0,298092,97a939f7aeef6c67fb16ece11f9f39f082368ba5,bug/cleanup_auth_url,7,3,1,2,12175,Eli Qiao,Eli,"Cleanup duplicated auth_url in k8scluster/master template

Cleanup duplicated auth_url in k8scluster/master template.

Change-Id: I83120436a520261d7e19a0c7790e96ffb276d87d
"
openstack%2Fmagnum~master~Ibf61fb37f1dae877bbeab3dfcb005be52187fe1a,openstack/magnum,master,Ibf61fb37f1dae877bbeab3dfcb005be52187fe1a,Fix config error,MERGED,2016-03-28 03:18:03.000000000,2016-03-28 23:29:25.000000000,2016-03-28 23:29:25.000000000,8,1,0,298087,ce55b7619f683d308e414bb2cc8812f5b38e66ef,bug/1562725,12,4,2,2,15917,Aaron-DH,aaron,"Fix config error

Replace cfg.CONF.api_paste_ini to cfg.CONF.api.api_paste_ini

Change-Id: Ibf61fb37f1dae877bbeab3dfcb005be52187fe1a
Closes-Bug: #1562725
"
openstack%2Fsearchlight~master~I5591d5208f75015f93b8431e73d2d7c7f5f2e167,openstack/searchlight,master,I5591d5208f75015f93b8431e73d2d7c7f5f2e167,Zero Downtime Re-indexing Error Handling.,MERGED,2016-03-15 18:02:54.000000000,2016-03-28 23:29:18.000000000,2016-03-28 22:25:42.000000000,131,59,46,293079,bc9eeaa9bac867eb28c07077fe7ee4cc4af9db5f,(detached,33,5,7,3,14680,Rick Aulino,ricka,"Zero Downtime Re-indexing Error Handling.

See spec:
http://specs.openstack.org/openstack/searchlight-specs/specs/mitaka/zero-downtime-reindexing.html

The Zero Downtime code is deficient in the error handling department.
One cleanup method too few. If we get any unrecoverable exceptions
while creating/preparing the indexes or aliases, we cannot continue.
In this case we need to roll back and undo any changes we made.

Change-Id: I5591d5208f75015f93b8431e73d2d7c7f5f2e167
Closes-Bug: #1557003
"
openstack%2Fironic-webclient~master~Iedc809b9d9e39e03b854ce4dbf988298cbaaa790,openstack/ironic-webclient,master,Iedc809b9d9e39e03b854ce4dbf988298cbaaa790,Updated eslint plugins,MERGED,2016-03-17 11:07:08.000000000,2016-03-28 23:27:36.000000000,2016-03-28 23:27:36.000000000,572,572,0,293953,e41836fb81537482e57faa57f2d7ad4088fd8e50,ux,24,4,4,52,9717,Michael Krotscheck,krotscheck,"Updated eslint plugins

This patch updates eslint-config-openstack to 1.2.4, and
eslint-plugin-angular to 1.0.0. All linting violations have
been corrected.

Change-Id: Iedc809b9d9e39e03b854ce4dbf988298cbaaa790
"
openstack%2Fbarbican~master~I1b49864443d90e0f81f794c82c4ce00ce9078e33,openstack/barbican,master,I1b49864443d90e0f81f794c82c4ce00ce9078e33,Fix typos in Barbican files,MERGED,2016-03-27 03:17:21.000000000,2016-03-28 23:11:47.000000000,2016-03-28 23:11:47.000000000,4,4,0,297999,1bd74d52018376c6b843556d7dae98784c522137,bug/1,11,7,1,3,19853,Nguyen Hung Phuong,phuongnh,"Fix typos in Barbican files

TrivialFix

Change-Id: I1b49864443d90e0f81f794c82c4ce00ce9078e33
"
openstack%2Fneutron~master~I33dc084ed15e5491fdda19da712a746ca87fbc8c,openstack/neutron,master,I33dc084ed15e5491fdda19da712a746ca87fbc8c,L3HA: Do not wrap create/delete in transaction,MERGED,2016-03-02 00:22:45.000000000,2016-03-28 23:05:56.000000000,2016-03-12 07:28:16.000000000,28,10,8,286920,d1c501cd1d31ed3f859975b40c01cb7aaa06d26d,bug/1551958,90,18,10,5,7787,Kevin Benton,blak111,"L3HA: Do not wrap create/delete in transaction

This is unsafe when calling ML2 because ML2 assumes that its
functions will not be called inside of a transaction. This is
not only an issue for drivers that try to do DB lookups using
a different session in the post commit operation, but it's a
big issue for the delete methods.

The delete subnet and network methods in ML2 have 'while True'
loops that catch concurrency errors and retry the operation after
looking up info. If these are called inside a transaction, the
lookups will contain stale information and it can lead to the
while True loop never terminating!

Closes-Bug: #1551958
Change-Id: I33dc084ed15e5491fdda19da712a746ca87fbc8c
"
openstack%2Fcongress~master~If14b5afec201068af7cc6fc903cdf6fa72887c2a,openstack/congress,master,If14b5afec201068af7cc6fc903cdf6fa72887c2a,Also package congress_tempest_tests,MERGED,2016-03-25 14:58:28.000000000,2016-03-28 23:04:33.000000000,2016-03-28 23:04:33.000000000,1,0,0,297715,b4d05f3c6dce2f9126467f75b0243df43a7e00d0,,15,4,1,1,6476,Thomas Goirand,thomas-goirand,"Also package congress_tempest_tests

The folder congress_tempest_tests has to be packaged in order for the
Debian packaging CI to work. Otherwise, we get:
ImportError: No module named congress_tempest_tests.plugin
when running templest.

Please allow this distribution specific patch to reach upstream.

Change-Id: If14b5afec201068af7cc6fc903cdf6fa72887c2a
"
openstack%2Fironic~master~I2b6b0978421fcec2e4434bc1b492f7d45ba945a2,openstack/ironic,master,I2b6b0978421fcec2e4434bc1b492f7d45ba945a2,Assign valid values to UUIDFields in unit tests,MERGED,2016-03-25 16:06:03.000000000,2016-03-28 23:01:53.000000000,2016-03-28 23:01:53.000000000,16,12,2,297745,4dce7211313ab86bdfd02b5d2706836aabf1bfdb,bug/1562037,17,8,1,4,12356,Vladyslav Drok,vdrok,"Assign valid values to UUIDFields in unit tests

Possibility of assigning any string to UUIDField will be removed
from oslo_versionedobjects.

Change-Id: I2b6b0978421fcec2e4434bc1b492f7d45ba945a2
Closes-bug: #1562037
"
openstack%2Fdevstack~stable%2Fliberty~I130c9a303177180fe51622a7f155f21fec22824d,openstack/devstack,stable/liberty,I130c9a303177180fe51622a7f155f21fec22824d,WIP: Fail devstack if some variables are not set,ABANDONED,2016-02-24 22:41:03.000000000,2016-03-28 22:57:23.000000000,,8,4,1,284442,a17c5045d5a509a89c5e3f788626e537e19908ad,(detached,9,3,3,1,14760,John L. Villalovos,jlvillal,"WIP: Fail devstack if some variables are not set

We call various commands to set certain variables. Add some checks to
make sure those variables are set and fail if they are not.

Change-Id: I130c9a303177180fe51622a7f155f21fec22824d
Partial-Bug: #1549095
"
openstack%2Fdevstack~stable%2Fliberty~Iba692d7ec761a79bd2bca8fb09df38461459f107,openstack/devstack,stable/liberty,Iba692d7ec761a79bd2bca8fb09df38461459f107,WIP: Keep the console logs for all boots,ABANDONED,2016-03-16 22:43:34.000000000,2016-03-28 22:55:37.000000000,,48,0,0,293748,d8ab326c820aeb42600b8c2ada1b24b237e9acf9,,7,2,2,2,14760,John L. Villalovos,jlvillal,"WIP: Keep the console logs for all boots

This patch adds a libvirt hook that saves the VM console log everytime
it shutdown. This is great for troubleshooting because it allow us to
see what happened with the VM on every boot instead of only the last one.

Devstack: Remove QEMU hook at ./unstack
Remove the libvirt QEMU hook to rotate the logs when ./unstack is
invoked. Otherwise it will always rotate the logs even if the
IRONIC_VM_LOG_ROTATE is set to False in a subsequently ran.

This commit also makes the path to the hook configurable.

Devstack: Make sure libvirt's hooks directory exists
Before copying the QEMU hook to the libvirt's hooks directory, make sure
that the path exists. Some distros do not create it by default (e.g
Fedora 23).

(cherry-picked from openstack/ironic commit 2f6dce97384718f6a35d1d9a12d3d1ae5128a271)
(cherry-picked from openstack/ironic commit d9a2a62ac009ac07ec1ebdb1626896b5bb592bc7)
(cherry-picked from openstack/ironic commit ac54456a8ed225512fd5702952a454675280db75)

Change-Id: Iba692d7ec761a79bd2bca8fb09df38461459f107
"
openstack%2Fironic~master~Ife4300f9bd7c002c989babbc07dc7e81c3d542d2,openstack/ironic,master,Ife4300f9bd7c002c989babbc07dc7e81c3d542d2,WIP: AMT stuff,ABANDONED,2015-09-24 23:03:37.000000000,2016-03-28 22:54:08.000000000,,132,293,10,227581,cd48b2732b79dfd97d486e0a0f136ce05a0b10f2,,14,7,4,5,14760,John L. Villalovos,jlvillal,"WIP: AMT stuff

Still WIP

Change-Id: Ife4300f9bd7c002c989babbc07dc7e81c3d542d2
"
openstack%2Fceilometer~stable%2Fmitaka~I6098f1949604a03aa4c2e36562519fd4792f4b13,openstack/ceilometer,stable/mitaka,I6098f1949604a03aa4c2e36562519fd4792f4b13,abort alarms URLs when Aodh is unavailable,MERGED,2016-03-28 12:32:31.000000000,2016-03-28 22:52:00.000000000,2016-03-28 22:52:00.000000000,8,1,0,298219,19e751cc6ccd23978d4c783fea5e0b272a2e1c48,bug/1562740,12,5,1,1,6537,gordon chung,chungg,"abort alarms URLs when Aodh is unavailable

add adoh_abot() when query.QueryAlarmsController() is deprecated.

Change-Id: I6098f1949604a03aa4c2e36562519fd4792f4b13
Closes-Bug: #1562740
"
openstack%2Fneutron~master~I5c00b186585369ef6c8e2b9cb5a43b8bba0e5a7c,openstack/neutron,master,I5c00b186585369ef6c8e2b9cb5a43b8bba0e5a7c,Block delete_(network|subnet) transactioned calls,MERGED,2016-03-01 21:17:34.000000000,2016-03-28 22:38:14.000000000,2016-03-12 16:56:27.000000000,71,0,4,286843,afe1a834000d33900b8646d308fa26fa807a2ca0,bug/1551958,106,25,9,3,7787,Kevin Benton,blak111,"Block delete_(network|subnet) transactioned calls

These functions assume that they won't be called inside of a
transaction for two reasons. The first is an infinite loop that
will only terminate if it can actually retrieve the latest
information from the database. The second is that ML2's post-commit
operations are expected to occur after data was actually committed
so mechanism drivers that do DB lookups using a different session
may break.

This adds an explicit guard that prevents these two functions from
being called within an active DB session. The rest of the ML2
functions should eventually be converted to this style as well
(see the partial bug).

Related-Bug: #1551958
Partial-Bug: #1540844
Change-Id: I5c00b186585369ef6c8e2b9cb5a43b8bba0e5a7c
"
openstack%2Fkolla~stable%2Fmitaka~I14da441ebb6de94964326c0a1b02ae1480b080bd,openstack/kolla,stable/mitaka,I14da441ebb6de94964326c0a1b02ae1480b080bd,Add creation of new log folder for Horizon,MERGED,2016-03-28 20:09:40.000000000,2016-03-28 22:27:00.000000000,2016-03-28 22:27:00.000000000,9,0,0,298418,9b7a9a7e4d12f97f47dd002551b0a916456c9c84,bug/1561073,10,3,1,1,2834,Steven Dake,sdake,"Add creation of new log folder for Horizon

The previous Horizon logging fix missed the part of creating new folder,
this fix adds it.

Change-Id: I14da441ebb6de94964326c0a1b02ae1480b080bd
Closes-Bug: 1561073
(cherry picked from commit 8d96d639c8918e52c6d4d0a0bdeba299ea12bb86)
"
